"datetime","admin_id","action","details"
"2026-06-18 11:35:53","677539972","create_incident","inc_20260618_113553_551848: Работы над ботом"
"2026-06-18 12:24:23","677539972","create_incident","inc_20260618_122423_301401: test"
"2026-06-18 14:59:19","","add_read_only_chat","-100123456789"
"2026-06-18 15:01:59","677539972","set_read_only_mode","selected"
"2026-06-18 15:02:08","677539972","set_read_only_mode","off"
"2026-06-18 15:02:12","677539972","set_read_only_mode","all"
"2026-06-18 15:02:16","677539972","add_read_only_chat","677539972"
"2026-06-18 15:02:20","677539972","remove_read_only_chat","677539972"
"2026-06-18 15:02:28","677539972","set_read_only_mode","selected"
